CC(OC/C=C(C)/CCC=C(C)C)=O	Singab_001
OC1=CC(O)=C(C([C@H](OC(C)=O)[C@@H](C2=CC=CC=C2)O3)=O)C3=C1	KU002-15-2
OC1=CC(O)=C(C(C(OC)=C(C2=CC=CC=C2)O3)=O)C3=C1	KU002-16
O[C@@H]1[C@@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O2)[C@H](OC(/C=C/C3=CC(O)=C(O)C=C3)=O)[C@@H](CO)O[C@H]1OCCC4=CC=C(O)C(O)=C4	KU006-2
O[C@@H]1[C@@H](COC(/C=C/C2=CC(O)=C(O)C=C2)=O)O[C@@H](OCCC3=CC=C(O)C(O)=C3)[C@H](O)[C@H]1O[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4	KU006-3-1
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CCC2=O	KU006-4-1
OC(C=C1)=C(O)C=C1C2=CC(C3=C(O)C(OC)=C(O)C=C3O2)=O	KU006-4-3
OC1=CC(C(O)=O)=CC2=C1[C@H](C)C[C@@H](O)[C@@]2([H])[C@@](CC/C=C(CO)\C)([H])C	KU006-4-4
OC1=CC(C(O)=O)=CC2=C1[C@H](C)C[C@@H](O)[C@@]2([H])[C@@](CCCC(CO)C)([H])C	KU006-4-5
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC(O)C(CO)(O)C)([H])C	KU006-4-5b
OC(C=C1)=CC=C1C2=CC(C3=C(O)C(OC)=C(O)C=C3O2)=O	KU006-5-3
OC(C=C1)=C(OC)C=C1C2=CC(C3=C(O)C(OC)=C(O)C=C3O2)=O	KU006-5-4
OC1=CC(C(O)=O)=CC2=C1[C@H](C)C[C@@H](O)[C@@]2([H])[C@@](CCCC(C(OC)=O)C)([H])C	KU006-6-1
OC(C=C1)=CC=C1C2=CC(C3=CC(OC)=C(OC)C=C3O2)=O	KU006-7
OC1=C(O)C(C(O)=O)=CC2=C1[C@H](C)C[C@@H](O)[C@@]2([H])[C@@](CCCC(C(OC)=O)C)([H])C	KU006-8-1
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CC/C=C(C)\CO)([H])C	KU006-10-1
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CC/C=C(CO)\C)([H])C	KU006-11
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCCC(CO)C)([H])C	KU006-12
OC1=C(O)C(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCCC(CO)C)([H])C	KU006-14
OC1=CC(COC(C)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CC/C=C(CO)\C)([H])C	KU006-15-1
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CC/C=C(C(OC)=O)\C)([H])C	KU006-15-2
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCCC(C(OC)=O)C)([H])C	KU006-15-3
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC=O)([H])C	KU006-17-1
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC(O)C(C)(O)C)([H])C	KU006-17-2
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC(O)C(C)(O)C)([H])C	KU006-17-3
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC(O)C(C)(OC)C)([H])C	KU006-17-4
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC(O)C(C)=C)([H])C	KU006-17-5
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC(O)C(C)=C)([H])C	KU006-17-6
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC(OC)OC)([H])C	KU006-17-7
C[C@@H]1[C@@](CC[C@H]2C)([H])C3=C2C(O)=CC(C(O)=O)=C3[C@H](C=C(C)C)C1	KU006-17-8
OC(C1=CC([C@@]([C@@](CC/C=C(CO)\C)([H])C)([H])CC[C@H]2C)=C2C=C1)=O	KU006-17-9-1
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CC/C=C(C)\C(OC)=O)([H])C	KU006-17-9-2
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC=C(C)C)([H])C	KU006-17-14
O[C@@H]1C2(O)[C@@]([C@@H](O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)OC=C2)([H])[C@@]4(COC(/C=C/C5=CC=CC=C5)=O)[C@@H]1O4	KU030-2
OC1C2C(C(O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)OC=C2)C4(COC(/C=C/C5=CC=CC=C5)=O)C1O4	KU030-3
OC(/C=C/C=C(/C=C/CCCCCCC)COC(C)=O)=O	KU030-14
O[C@@H]1[C@@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O2)[C@H](OC(/C=C/C3=CC(O)=C(O)C=C3)=O)[C@@H](CO)O[C@H]1OCCC4=CC=C(O)C(O)=C4	KU036-2
O[C@@H]1[C@@H](COC(/C=C/C2=CC(O)=C(O)C=C2)=O)O[C@@H](OCCC3=CC=C(O)C(O)=C3)[C@H](O)[C@H]1O[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4	KU036-3-1
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC(O)C(CO)=C)([H])C	KU036-4-5a-b
CC1=C2C3=C(C(CC/C=C(CO)\C)CO2)C(O)=CC(C)=C3C(C1=O)=O	KU036-4-9
CC1=C2C3=C(C(CC/C=C(C)\CO)CO2)C(O)=CC(C)=C3C(C1=O)=O	KU036-4-10
OC1=C([C@H](C)CC2)C(C2=O)=CC(COC(C)=O)=C1	KU036-4-2
OC1=C2C([C@@]([C@@](CCO)([H])C)([H])CC[C@H]2C)=CC(C(O)=O)=C1	KU036-4-3
OC1=CC(CO)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC=C(CO)CO)([H])C	KU036-4-4
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC=C(CO)CO)([H])C	KU036-5
O=C1C2=C(O)C(OC)=C(OC)C=C2OC(C3=CC=C(O)C=C3)=C1	KU036-6-1
O=C(O)C1=CC(O)=C2C([C@@]([C@@](C/C=C/C(C)=O)([H])C)([H])CC[C@H]2C)=C1	KU036-6-2-1a
O=C(O)C1=CC(O)=C2C([C@@]([C@@](CCC=O)([H])C)([H])CC[C@H]2C)=C1	KU036-6-4-6
O=C(O)C1=CC(O)=C2C([C@@]([C@@](CCC(OC)OC)([H])C)([H])CC[C@H]2C)=C1	KU036-6-7-1_7-2
CC1=CC[C@]2([C@]([C@@](CCC=C(CO)CO)([H])C)([H])CC[C@@H]2C)C[C@@H]1O	KU036-6-5
OC1=CC(CO)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CC/C=C(C)\CO)([H])C	KU036-6-6-1
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC(O)C(C)=C)([H])C	KU036-6-6-2
C[C@@H](C[C@H]1C=C(C)C)[C@@]2([H])C3=C1C(C(O)=O)=CC(O)=C3[C@H](C)CC2	KU036-6-8
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CC/C=C(C)\CO)([H])C	KU036-7
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CC/C=C(CO)\C)([H])C	KU036-8
O=C(O)C1=CC([C@@]([C@@](CC/C=C(C=O)\C)([H])C)([H])CC[C@H]2C)=C2C(O)=C1	KU036-9-1a
CC1=CC[C@]2([C@]([C@@](CC/C=C(C)/C(O)=O)([H])C)([H])CC[C@@H]2C)C[C@@H]1O	KU036-9-2a
O=C(O)C1=CC([C@@]([C@@](CCC=C(C)C)([H])C)([H])C[C@H](O)[C@H]2C)=C2C=C1	KU036-9-3
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCCC(CO)C)([H])C	KU036-9-4
O=C(CC12C3C4[C@]1(C)COC2=O)C5=C3C([C@@H](C)CC4)CC[C@H]5C	KU036-9-5-3
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CC/C=C(COC(/C=C/C3=CC(OC)=C(O)C=C3)=O)\CO)([H])C	KU036-9-6
O=C(O)C1=CC([C@@]([C@@](CC/C=C(C)\CO)([H])C)([H])CC[C@H]2C)=C2C=C1	KU036-9-3a
CC1=CC[C@]2([C@]([C@@](CC/C=C(C)\CO)([H])C)([H])CC[C@@H]2C)C[C@@H]1O	KU036-10
CC1=CC[C@]2([C@]([C@@](CC/C=C(C)\CO)([H])C)([H])CC[C@@H]2C)CC1=O	KU036-10-2
OC1=CC(CO)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC=C(C)C)([H])C	KU036-11-1-1
CC1=CC[C@]2([C@]([C@@](CC/C=C(C)\C=O)([H])C)([H])CC[C@@H]2C)C[C@@H]1O	KU036-11-2-1
CC1=C2C3=C(C(CCC=C(C)C)CO2)C(O)=CC(C)=C3C(C1=O)=O	KU036-11-3-1
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@](C)([H])CC/C=C(C)\COC(/C=C\C3=CC=C(O)C(OC)=C3)=O	KU036-11-3-2
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@](C)([H])CC/C=C(COC(/C=C\C3=CC=C(O)C(OC)=C3)=O)\C	KU036-11-4
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@](C)([H])CC/C=C(C)\COC(/C=C/C3=CC(OC)=C(O)C=C3)=O	KU036-11-5
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CC/C=C(COC(/C=C/C3=CC(OC)=C(O)C=C3)=O)\C)([H])C	KU036-11-6
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCCC(COC(/C=C/C3=CC(OC)=C(O)C=C3)=O)C)([H])C	KU036-11-7
OC1=CC(C(O)=O)=CC2=C1[C@H](C)CC[C@@]2([H])[C@@](CCC=C(C)C)([H])C	KU036-12
O=C(O)C1=CC([C@@]([C@@](CCC=C(C)C)([H])C)([H])CC[C@H]2C)=C2C=C1	KU036-15
