filename	ATTRIBUTE_origin	ATTRIBUTE_leaf.resin	ATTRIBUTE_pollination	ATTRIBUTE_traditional.use	ATTRIBUTE_antibacterial.activity	ATTRIBUTE_leaf.hairiness	ATTRIBUTE_phylo.clade	ATTRIBUTE_phylo.clade.general	ATTRIBUTE_biogeography	ATTRIBUTE_sample.weight.mg
066_RMF114_4ul_BD2_01_22252.mzML	Eremophila_gibsonii_RMF114	1	0	0	0	0	h6	h	1	11.6
067_RMF115_4ul_BD3_01_22253.mzML	Eremophila_ovata_RMF115	0	0	0	0	1	h1	h	1	11.4
068_RMF117_4ul_BD4_01_22254.mzML	Eremophila_glabra_juana_rock_RMF117	1	1	0	NA	1	h14	h14	1	9.8
069_RMF118_4ul_BD5_01_22255.mzML	Eremophila_linsmithii_RMF118	1	0	0	NA	1	h11	h11	1	8.6
070_RMF119_4ul_BD6_01_22256.mzML	Eremophila_pentaptera_RMF119	0	0	0	0	1	d	ag	1	15.6
071_RMF120_4ul_BD7_01_22257.mzML	Eremophila_battii_RMF120	0	0	0	NA	1	h12	h12	1	13.5
072_RMF121_4ul_BD8_01_22258.mzML	Eremophila_mirabilis_RMF121	1	1	0	NA	1	h11	h11	1	15.1
073_RMF122_4ul_BE1_01_22259.mzML	Eremophila_glabra_chlorella_RMF122	1	1	0	NA	1	h14	h14	2	11.4
074_RMF123_6ul_BE2_01_22260.mzML	Eremophila_sargentii_RMF123	1	0	0	0	0	h14	h14	1	9
075_RMF124_6ul_BE3_01_22261.mzML	Eremophila_acrida_RMF124	0	0	0	1	1	h12	h12	1	11.1
076_RMF125_6ul_BE4_01_22262.mzML	Eremophila_adenotricha_RMF125	0	0	0	0	1	0	h	1	10.3
077_RMF126_6ul_BE5_01_22263.mzML	Eremophila_parvifolia_parvifolia_RMF126	0	0	0	0	1	h3	h3	1	11.3
078_RMF127_6ul_BE6_01_22264.mzML	Eremophila_obovata_glabriuscula_RMF127	0	0	0	NA	0	h10	h10	1	12.6
079_RMF128_6ul_BE7_01_22265.mzML	Eremophila_obovata_obovata_RMF128	0	0	0	NA	1	h10	h10	1	10.2
080_MJB2350_6ul_BE8_01_22266.mzML	Eremophila_denticulata_denticulata_MJB2350	1	1	0	1	0	h14	h14	2	9
081_MJB2351_6ul_GA1_01_22269.mzML	Eremophila_rostrata_trifida_MJB2351	1	1	0	NA	0	g	ag	1	15.6
083_MJB2353_6ul_GA3_01_22271.mzML	Eremophila_koobabiensis_MJB2353	0	1	0	0	1	h3	h3	1	12.3
086_MJB2356_6ul_GA6_01_22274.mzML	Eremophila_subteretifolia_MJB2356	1	1	0	1	1	h14	h14	2	11.4
088_MJB2358_6ul_GA8_01_22276.mzML	Eremophila_ternifolia_MJB2358	0	0	0	NA	0	h3	h3	1	13.5
089_MJB2359_6ul_GB1_01_22277.mzML	Eremophila_virens_MJB2359	1	1	0	1	1	h14	h14	1	11.7
090_MJB2360_6ul_GB2_01_22278.mzML	Eremophila_viscida_MJB2360	1	1	0	0	0	h13	h	1	11.6
092_MJB2362_6ul_GB4_01_22280.mzML	Eremophila_ciliata_MJB2362	1	0	0	NA	0	h13	h	2	12.9
093_MJB2363_6ul_GB5_01_22281.mzML	Eremophila_scaberula_MJB2363	1	0	0	1	1	h14	h14	2	13
094_MJB2364_6ul_GB6_01_22282.mzML	Eremophila_verticillata_MJB2364	0	0	0	NA	1	h3	h3	2	11.7
095_MJB2365_6ul_GB7_01_22283.mzML	Eremophila_denticulata_trisulcata_MJB2365	1	1	0	1	0	h14	h14	2	12.5
096_MJB2366_6ul_GB8_01_22284.mzML	Eremophila_abietina_ciliata_MJB2366	1	1	0	0	0	h11	h11	1	14.6
097_MJB2367_6ul_GC1_01_22285.mzML	Eremophila_aureivisca_MJB2367	1	0	0	1	0	h13	h	1	11.8
098_MJB2368_6ul_GC2_01_22286.mzML	Eremophila_reticulata_MJB2368	1	0	0	NA	1	h11	h11	1	8.9
099_MJB2369_6ul_GC3_01_22287.mzML	Eremophila_hillii_MJB2369	0	1	0	0	1	h14	h14	1	13.4
100_MJB2370_6ul_GC4_01_22288.mzML	Eremophila_conferta_MJB2370	0	0	0	NA	1	h10	h10	1	11.8
101_MJB2371_6ul_GC5_01_22291.mzML	Eremophila_eriocalyx_MJB2371	0	0	0	NA	1	h10	h10	1	13.7
102_MJB2372_6ul_GC6_01_22292.mzML	Eremophila_muelleriana_MJB2372	0	0	0	0	1	h10	h10	1	10.4
104_MJB2374_6ul_GC8_01_22294.mzML	Eremophila_grandiflora_MJB2374	1	1	0	NA	1	h11	h11	1	15.3
105_MJB2375_6ul_GD1_01_22295.mzML	Eremophila_canaliculata_MJB2375	0	0	0	0	1	h12	h12	1	14.4
106_RMF292_6ul__GD2_01_22296.mzML	Eremophila_lucida_RMF292	1	1	0	1	0	h13	h	1	15.3
108_MJB2378_6ul_GD4_01_22298.mzML	Eremophila_fasciata_MJB2378	0	0	0	NA	1	h1	h	1	12.2
109_MJB2379_6ul_GD5_01_22299.mzML	Eremophila_caperata_MJB2379	1	0	0	NA	1	h7	h	1	12.6
110_MJB2380_6ul_GD6_01_22300.mzML	Eremophila_micrantha_MJB2380	1	0	0	NA	0	h13	h	1	15.8
112_MJB2382_6ul_GD8_01_22302.mzML	Eremophila_pallida_MJB2382	1	0	0	NA	1	h12	h12	1	17.7
