filename	ATTRIBUTE_origin	ATTRIBUTE_leaf.resin	ATTRIBUTE_pollination	ATTRIBUTE_traditional.use	ATTRIBUTE_antibacterial.activity	ATTRIBUTE_leaf.hairiness	ATTRIBUTE_phylo.clade	ATTRIBUTE_phylo.clade.general	ATTRIBUTE_biogeography	ATTRIBUTE_sample.weight.mg
279_RMF246_6ul_GE7_01_22484.mzML	Eremophila_fallax_RMF246	1	0	0	NA	0	d	ag	1	10.9
283_RMF228_6ul_BA3_01_22490.mzML	Eremophila_deserti_RMF228	1	0	0	0	0	d	ag	0	16.9
288_RMF249_6ul_BA8_01_22495.mzML	Eremophila_scoparia_RMF249	0	0	0	0	0	h3	h3	1	15.6
290_BB02_6ul_BB2_01_22497.mzML	Eremophila_freelingii_BB02	1	0	1	1	1	h11	h11	1	9.3
291_RMF265_6ul_BB3_01_22498.mzML	Eremophila_macdonnellii_RMF265	0	0	0	0	1	0	h	1	8.5
293_RMF288_6ul_BB5_01_22500.mzML	Leucophyllum_fruitescens_RMF288	0	0	0	NA	1	o	o	5	9.3
295_NTBG061301_6ul_BB7_01_22502.mzML	Myoporum_sandwicense_NTBG061301	0	0	1	NA	1	a	ag	5	5.6
297_RMF267_6ul_BC1_01_22504.mzML	Eremophila_prostrata_RMF267	1	0	0	0	0	h12	h12	1	1.6
301_BB17_6ul_BC5_01_22510.mzML	Eremophila_tietkensii_BB17	0	0	0	0	1	h11	h11	1	11.6
302_RMF284_6ul_BC6_01_22511.mzML	Eremophila_arbuscula_RMF284	0	0	0	0	1	0	h	1	14.2
303_MJB2559_6ul_BC7_01_22512.mzML	Eremophila_gibbifolia_MJB2559	0	0	0	0	0	e	ag	3	6.4
305_RMF277_6ul_BD1_01_22514.mzML	Eremophila_oppositifolia_rubra_RMF277	0	1	0	NA	1	h9	h	1	18.6
306_RMF259_6ul_BD2_01_22515.mzML	Eremophila_gibbifolia_RMF259	0	0	0	0	0	e	ag	3	4
307_BB06_6ul_BD3_01_22516.mzML	Eremophila_rotundifolia_BB06	0	0	0	NA	1	h11	h11	1	12
308_RMF129_6ul_BD4_01_22517.mzML	Eremophila_neglecta_RMF129	1	1	1	1	1	h2	h	1	14.5
309_RMF130_6ul_BD5_01_22518.mzML	Eremophila_congesta_RMF130	0	0	0	NA	1	h10	h10	1	10.5
310_RMF131_6ul_BD6_01_22519.mzML	Diocirea_violacea_RMF131	1	0	0	NA	1	h3	h3	1	18.4
311_RMF132_6ul_BD7_01_22520.mzML	Eremophila_caerulea_merrallii_RMF132	0	0	0	NA	1	h3	h3	1	12.6
312_RMF133_6ul_BD8_01_22521.mzML	Eremophila_microtheca_RMF133	1	0	0	1	1	h14	h14	1	12.3
313_RMF134_6ul_BE1_01_22522.mzML	Eremophila_conglomerata_RMF134	1	0	0	NA	1	h12	h12	1	21.1
314_RMF135_6ul_BE2_01_22523.mzML	Eremophila_compacta_fecunda_RMF135	0	0	0	NA	1	h10	h10	1	18.5
315_RMF136_6ul_BE3_01_22524.mzML	Eremophila_duttonii_RMF136	1	1	1	1	1	h4	h	1	13.2
317_RMF139_6ul_BE5_01_22526.mzML	Eremophila_rigens_RMF139	0	0	0	NA	1	h10	h10	1	8.7
318_RMF140_6ul_BE6_01_22527.mzML	Eremophila_calcicola_RMF140	0	1	0	NA	0	h14	h14	1	17.7
319_RMF141_6ul_BE7_01_22528.mzML	Eremophila_physocalyx_RMF141	0	0	0	NA	1	h10	h10	1	15.4
320_RMF142_6ul_BE8_01_22529.mzML	Eremophila_forrestii_capensis_RMF142	0	1	0	NA	1	h10	h10	1	8.2
321_RMF143_6ul_GA1_01_22532.mzML	Eremophila_complanata_RMF143	1	0	0	1	1	h14	h14	1	16.7
322_RMF144_6ul_GA2_01_22533.mzML	Eremophila_interstans_RMF144	1	0	0	1	0	h13	h	1	13.8
323_RMF145_6ul_GA3_01_22534.mzML	Eremophila_paisleyi_paisleyi_RMF145	1	0	1	NA	0	h7	h	1	16.2
324_RMF146_6ul_GA4_01_22535.mzML	Eremophila_undulata_RMF146	0	1	0	1	1	h14	h14	1	17.9
325_RMF147_6ul_GA5_01_22536.mzML	Eremophila_arachnoides_tenera_RMF147	0	0	0	0	0	h3	h3	1	22
326_RMF148_6ul_GA6_01_22537.mzML	Eremophila_delisseri_RMF148	0	0	0	0	1	h3	h3	1	19.4
327_RMF149_6ul_GA7_01_22538.mzML	Eremophila_dendritica_RMF149	0	0	0	NA	1	h3	h3	1	12.9
328_RMF150_6ul_GA8_01_22539.mzML	Eremophila_decussata_RMF150	0	0	0	NA	1	h3	h3	1	7.9
329_RMF151_6ul_GB1_01_22540.mzML	Eremophila_glabra_verrucosa_RMF151	1	1	0	NA	1	h14	h14	1	4.1
330_RMF152_6ul_GB2_01_22541.mzML	Eremophila_bowmanii_nutans_RMF152	0	0	0	NA	1	h10	h10	1	11.2
331_RMF153_6ul_GB3_01_22542.mzML	Eremophila_glabra_carnosa_RMF153	0	1	0	0	1	h14	h14	1	13.8
337_RMF159_6ul_GC1_01_22548.mzML	Eremophila_mackinlayi_mackinlayi_RMF159	0	0	0	0	1	h1	h	1	10.6
338_RMF160_6ul_GC2_01_22549.mzML	Eremophila_platythamnos_exotrachys_RMF160	1	0	0	1	1	h6	h	1	14.3
339_RMF161_6ul_GC3_01_22550.mzML	Eremophila_flaccida_attenuata_RMF161	1	1	0	NA	0	h11	h11	1	11
340_RMF162_6ul_GC4_01_22551.mzML	Eremophila_arachnoides_arachnoides_RMF162	0	0	0	NA	0	h3	h3	1	19.6
341_RMF163_6ul_GC5_01_22554.mzML	Eremophila_splendens_RMF163	0	1	0	0	1	h14	h14	1	16.8
342_RMF181_6ul_GC6_01_22555.mzML	Eremophila_battii_GranitePeaks_RMF181	0	0	0	NA	0	h12	h12	1	17.6
343_RMF165_6ul_GC7_01_22556.mzML	Eremophila_compacta_compacta_RMF165	0	0	0	0	1	h10	h10	1	7.1
344_RMF166_6ul_GC8_01_22557.mzML	Eremophila_maculata_filifolia_RMF166	0	1	1	NA	1	h8	h	1	8
345_RMF168_6ul_GD1_01_22558.mzML	Eremophila_purpurascens_RMF168	1	1	0	0	0	g	ag	1	15.1
346_RMF169_6ul_GD2_01_22559.mzML	Eremophila_platycalyx_Leonora_RMF169	0	1	0	NA	1	h11	h11	1	21.5
349_RMF172_6ul_GD5_01_22562.mzML	Eremophila_rugosa_RMF172	1	0	0	1	1	h14	h14	1	16
350_RMF173_6ul_GD6_01_22563.mzML	Eremophila_brevifolia_RMF173	0	0	0	0	0	h14	h14	2	13
351_RMF174_6ul_GD7_01_22564.mzML	Eremophila_arenaria_RMF174	1	0	0	NA	1	h13	h	1	13.3
352_RMF175_6ul_GD8_01_22565.mzML	Eremophila_tetraptera_RMF175	1	1	0	1	0	c	ag	1	13.8
353_RMF176_6ul_GE1_01_22566.mzML	Eremophila_papillata_RMF176	1	0	0	NA	1	h14	h14	1	16
355_RMF178_6ul_GE3_01_22568.mzML	Eremophila_goodwinii_ecapitata_RMF178	1	0	1	NA	1	h12	h12	1	16
356_RMF179_6ul_GE4_01_22569.mzML	Eremophila_elderi_RMF179	1	0	1	NA	1	h12	h12	1	19.8
358_RMF183_6ul_GE6_01_22571.mzML	Eremophila_macgillivrayi_RMF183	0	1	0	NA	1	0	h	1	14.7
359_RMF184_6ul_GE7_01_22572.mzML	Eremophila_glabra_York_RMF184	1	1	0	NA	1	h14	h14	1	14.9
360_RMF185_6ul_GE8_01_22573.mzML	Eremophila_lehmanniana_RMF185	1	0	0	1	0	h14	h14	2	19.6
361_RMF186_6ul_BA1_01_22576.mzML	Eremophila_philipsii_RMF186	1	0	0	1	0	h14	h14	1	13
362_RMF187_6ul_BA2_01_22577.mzML	Eremophila_rugosa_RMF187	1	0	0	1	1	h14	h14	1	8.6
363_RMF188_6ul_BA3_01_22578.mzML	Eremophila_biserrata_RMF188	1	1	0	1	1	h14	h14	1	15.4
364_RMF189_6ul_BA4_01_22579.mzML	Eremophila_racemosa_RMF189	0	1	0	0	0	h8	h	1	13.4
365_RMF190_6ul_BA5_01_22580.mzML	Eremophila_decipiens_decipiens_RMF190	1	1	0	1	1	h14	h14	1	19
366_RMF191_6ul_BA6_01_22581.mzML	Eremophila_clavata_RMF191	1	0	0	0	1	h3	h3	1	21.6
367_RMF192_6ul_BA7_01_22582.mzML	Eremophila_dempsteri_RMF192	1	0	0	0	0	h13	h	1	21.2
369_RMF194_6ul_BB1_01_22584.mzML	Eremophila_scoparia_RMF194	0	0	0	0	0	h3	h3	1	17.5
371_RMF196_6ul_BB3_01_22586.mzML	Eremophila_gibbosa_RMF196	1	1	0	1	0	h14	h14	1	11.3
374_RMF200_6ul_BB6_01_22589.mzML	Eremophila_parvifolia_auricampa_RMF200	0	0	0	NA	1	h3	h3	1	19
375_RMF201_6ul_BB7_01_22590.mzML	Eremophila_dichroantha_RMF201	1	0	0	NA	0	h13	h	2	13
376_RMF202_6ul_BB8_01_22591.mzML	Eremophila_alternifolia_broad_RMF202	0	1	1	1	0	g	ag	1	20.2
377_RMF203_6ul_BC1_01_22592.mzML	Eremophila_oblonga_RMF203	0	0	0	NA	1	h3	h3	1	20.3
378_RMF204_6ul_BC2_01_22593.mzML	Eremophila_deserti_RMF204	1	0	0	0	0	d	ag	0	12.2
379_RMF205_6ul_BC3_01_22594.mzML	Eremophila_subfloccosa_glandulosa_RMF205	1	1	0	1	1	h14	h14	0	10
380_RMF209_6ul_BC4_01_22595.mzML	Myoporum_tetrandrum_RMF209	1	0	0	NA	0	a	ag	2	17.6
381_NG6475_6ul_BC5_01_22598.mzML	Eremophila_pterocarpa_pterocarpa_NG6475	0	1	0	0	1	h10	h10	1	11.7
382_NG6477_6ul_BC6_01_22599.mzML	Eremophila_latrobei_latrobei_NG6477	0	1	1	1	1	h10	h10	1	10.4
383_BB32_6ul_BC7_01_22600.mzML	Eremophila_phyllopoda_obliqua_BB32	1	0	0	NA	1	h11	h11	1	15.3
386_BB48_6ul_BD2_01_22603.mzML	Eremophila_ballythunensis_BB48	0	0	0	NA	1	h10	h10	1	10.6
388_BB55_6ul_BD4_01_22605.mzML	Eremophila_pensilis_BB55	0	0	0	NA	1	h10	h10	1	10
392_RMF225_6ul_BD8_01_22609.mzML	Eremophila_longifolia_RMF225	0	1	1	1	1	h5	h	0	13.3
394_RMF231_6ul_BE2_01_22611.mzML	Eremophila_scoparia_RMF231	0	0	0	0	0	h3	h3	1	12.3
396_RMF232_6ul_BE4_01_22613.mzML	Eremophila_polyclada_RMF232	1	0	0	0	0	d	ag	1	12.1
397_RMF233_6ul_BE5_01_22614.mzML	Eremophila_maculata_maculata_RMF233	0	1	1	NA	0	h8	h	0	15.2
398_RMF234_6ul_BE6_01_22615.mzML	Eremophila_sturtii_RMF234	1	0	1	1	0	h7	h	1	15.3
399_RMF241_6ul_BE7_01_22616.mzML	Eremophila_longifolia_RMF241	0	1	1	1	1	h5	h	0	16.1
401_RMF243_6ul_GA1_01_22620.mzML	Eremophila_fallax_RMF243	1	0	0	NA	0	d	ag	1	15.2
403_RMF251_6ul_GA3_01_22622.mzML	Eremophila_glabra_glabra_RMF251	1	1	0	1	1	h14	h14	1	12.8
404_RMF252_6ul_GA4_01_22623.mzML	Eremophila_praecox_RMF252	1	0	0	NA	1	h3	h3	1	15.1
405_RMF253_6ul_GA5_01_22624.mzML	Eremophila_subfloccosa_lanata_RMF253	1	1	0	0	1	h14	h14	1	13.5
406_RMF254_6ul_GA6_01_22625.mzML	Eremophila_weldii_RMF254	0	0	0	0	0	h3	h3	1	15
408_RMF268_6ul_GA8_01_22627.mzML	Eremophila_latrobei_glabra_RMF268	0	1	1	NA	1	h10	h10	1	14.6
409_RMF274_6ul_GB1_01_22628.mzML	Eremophila_paisleyi_glandulosa_RMF274	1	0	1	NA	0	h7	h	1	14.9
410_RMF275_6ul_GB2_01_22629.mzML	Leucophyllum_fruitescens_RMF275	0	0	0	NA	1	o	o	5	12.8
411_RMF286_6ul_GB3_01_22630.mzML	Leucophyllum_zygophyllum_RMF286	0	0	0	NA	1	o	o	5	14.5
50MeCN2ppmfrsk_6ul_RA5_01_22267.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22289.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22311.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22333.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22355.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22377.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22399.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22421.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22443.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22486.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22508.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22530.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22552.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22574.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22596.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22618.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22644.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
50MeCN2ppmfrsk_6ul_RA5_01_22673.mzML	QC	QC	QC	QC	QC	QC	QC	QC	QC	QC
B..daphnoides.FTBG64271_GC5_01_27463.mzML	Bontia_daphnoides_FTBG64271	NA	1	1	NA	0	d	ag	5	15
